Id,Nombre,Género,Edad,Promedio_Notas,Asistencia_Clases_pct,TP_Entregados_pct,Trabaja,Tipo_Educacion,Año_Cursado,Materias_Aprobadas_Promedio,Demora_Traslado_min,Nivel_Asistencia,Regular,Indice_Compromiso,Categoria_Riesgo
1218,Martina Vargas,Femenino,20,9.91,71.7,94.1,No,Pública,2,1,78,Baja,No,8.29,Sin riesgo
1219,Rafael Ramos,Masculino,24,4.0,66.5,72.4,No,Pública,1,1,119,Baja,No,6.94,Alto riesgo
1220,Aldana Rivera,Femenino,20,7.68,58.9,83.1,No,Privada,2,5,15,Baja,No,7.1,Sin riesgo
1221,Andrés Rodríguez,Masculino,25,7.7,88.3,53.5,Sí,Privada,1,5,28,Alta,No,7.09,Sin riesgo
1222,Agustina Rodríguez,Femenino,27,6.74,89.3,50.0,No,Pública,2,4,28,Alta,No,6.97,Sin riesgo
1223,Matías Muñoz,Masculino,21,6.38,78.3,90.1,Sí,Pública,2,1,16,Alta,Sí,8.42,Riesgo moderado
1224,Martín Sánchez,Masculino,30,6.73,97.9,61.5,Sí,Pública,4,1,11,Alta,No,7.97,Sin riesgo
1225,Damián Medina,Masculino,18,6.49,65.9,67.3,Sí,Pública,3,5,44,Baja,No,6.66,Riesgo moderado
1226,Clara Ramos,Femenino,21,8.38,61.0,41.7,Sí,Pública,1,2,85,Baja,No,5.14,Sin riesgo
1227,Beatriz Medina,Femenino,24,4.81,83.9,63.2,No,Privada,6,5,103,Alta,No,7.36,Sin riesgo
1228,Florencia López,Femenino,28,5.19,87.9,86.2,Sí,Pública,5,2,74,Alta,Sí,8.71,Sin riesgo
1229,Sofía Vega,Femenino,21,5.08,61.2,89.3,Sí,Privada,3,6,80,Baja,No,7.52,Alto riesgo
1230,Andrés Díaz,Masculino,30,5.57,53.8,81.9,No,Privada,1,5,83,Baja,No,6.78,Alto riesgo
1231,Valeria Ortega,Femenino,23,7.15,90.5,81.5,No,Pública,4,0,100,Alta,Sí,8.6,Sin riesgo
1232,Martín Medina,Masculino,19,4.67,98.8,70.4,No,Pública,4,5,27,Alta,Sí,8.46,Sin riesgo
1233,Tomás Rodríguez,Masculino,18,0.0,82.2,72.3,No,Pública,5,1,75,Alta,Sí,7.72,Sin riesgo
1234,Gabriel Álvarez,No informado,30,5.78,63.9,84.6,No,Pública,1,1,42,Baja,No,7.42,Alto riesgo
1235,Eduardo Vargas,Masculino,22,0.0,99.8,54.8,Sí,Pública,1,3,35,Alta,No,7.73,Sin riesgo
1236,Nicolás Aguilar,Masculino,28,8.05,94.7,53.9,Sí,Pública,2,3,33,Alta,No,7.43,Sin riesgo
1237,Agustina García,Femenino,24,4.23,75.7,97.0,No,Privada,2,2,48,Alta,Sí,8.64,Riesgo moderado
1238,Brenda Rodríguez,Femenino,18,7.72,91.3,41.7,Sí,Pública,6,3,32,Alta,No,6.65,Sin riesgo
1239,Valentina González,Femenino,21,8.19,90.8,48.4,Sí,Privada,2,1,80,Alta,No,6.96,Sin riesgo
1240,Beatriz Ramírez,Femenino,23,5.29,96.7,74.2,No,Pública,5,0,95,Alta,Sí,8.54,Sin riesgo
1241,Beatriz Cabrera,Femenino,19,0.0,92.0,84.3,Sí,Pública,3,3,72,Alta,Sí,8.82,Sin riesgo
1242,Diego Rivera,Masculino,27,6.18,82.2,72.3,No,Privada,1,3,25,Alta,Sí,7.72,Sin riesgo
1243,Diana Flores,Femenino,22,4.59,80.5,61.3,No,Privada,2,4,13,Alta,No,7.09,Sin riesgo
1244,Marcos Molina,Masculino,28,4.7,73.4,30.0,No,Pública,5,4,53,Baja,No,5.17,Riesgo moderado
1245,Santiago Aguilar,Masculino,27,5.53,81.3,82.2,No,Privada,5,5,102,Alta,Sí,8.18,Sin riesgo
1246,Carlos Romero,Masculino,18,5.77,89.8,89.9,Sí,Pública,6,3,41,Alta,Sí,8.98,Sin riesgo
1247,Rodrigo Medina,Masculino,23,7.18,98.5,42.4,No,Pública,2,0,25,Alta,No,7.04,Sin riesgo
1248,Matías Gómez,Masculino,23,8.07,73.4,54.2,No,Privada,6,4,64,Baja,No,6.38,Sin riesgo
1249,Santiago Cabrera,No informado,30,7.56,78.7,62.5,Sí,Pública,4,4,27,Alta,No,7.06,Sin riesgo
1250,Emilio Morales,Masculino,21,4.89,72.2,51.0,No,Pública,4,3,92,Baja,No,6.16,Riesgo moderado
1251,Carla Sánchez,Femenino,30,5.03,83.4,44.4,No,Privada,4,4,14,Alta,No,6.39,Sin riesgo
1252,Damián Rodríguez,Masculino,25,9.27,81.5,53.5,Sí,Pública,2,2,106,Alta,No,6.75,Sin riesgo
1253,Víctor Rodríguez,Masculino,21,7.35,50.9,72.0,No,Privada,5,1,74,Baja,No,6.14,Sin riesgo
1254,Jimena Morales,Femenino,25,9.22,77.1,81.7,No,Pública,5,4,25,Alta,Sí,7.94,Sin riesgo
1255,Aldana González,Femenino,30,0.0,54.4,86.4,Sí,Pública,1,1,105,Baja,No,7.04,Alto riesgo
1256,Ignacio Medina,Masculino,25,7.69,51.3,42.6,No,Privada,4,3,33,Baja,No,4.7,Sin riesgo
1257,Hernán Castro,Masculino,22,7.14,89.6,65.7,No,Privada,2,3,63,Alta,No,7.76,Sin riesgo
1258,Verónica Ortega,Femenino,30,5.91,62.9,47.3,No,Pública,1,3,44,Baja,No,5.51,Alto riesgo
1259,César Ramos,Masculino,21,6.82,67.0,65.9,Sí,Privada,5,4,25,Baja,No,6.64,Riesgo moderado
1260,Daniela Romero,Femenino,29,7.01,53.2,66.0,No,Privada,1,0,90,Baja,No,5.96,Sin riesgo
1261,Valentín Díaz,Masculino,30,5.2,59.0,69.9,No,Pública,4,6,103,Baja,No,6.44,Alto riesgo
1262,Romina Martínez,Femenino,19,5.89,88.3,93.6,No,Privada,3,4,67,Alta,Sí,9.09,Sin riesgo
1263,Miguel Díaz,Masculino,28,8.75,74.7,88.3,No,Pública,1,3,50,Baja,No,8.15,Sin riesgo
1264,Hernán Álvarez,Masculino,20,9.49,94.0,78.2,No,Privada,4,1,9,Alta,Sí,8.61,Sin riesgo
1265,Nicolás Vega,Masculino,20,6.16,69.9,93.1,Sí,Pública,2,0,19,Baja,No,8.15,Riesgo moderado
1266,Lucas Suárez,Masculino,20,5.84,63.4,80.7,Sí,Privada,3,4,109,Baja,No,7.2,Alto riesgo
1267,Carolina Díaz,No informado,21,5.17,67.4,89.1,No,Privada,6,2,115,Baja,No,7.82,Alto riesgo
1268,Jimena Castro,Femenino,27,8.07,85.6,73.8,No,Pública,3,1,87,Alta,Sí,7.97,Sin riesgo
1269,Víctor Álvarez,Masculino,28,5.94,77.8,71.5,No,Pública,3,2,84,Alta,Sí,7.47,Riesgo moderado
1270,Alejandro Vargas,Masculino,28,9.93,95.2,83.4,No,Pública,5,4,44,Alta,Sí,8.93,Sin riesgo
1271,Alejandro Torres,Masculino,22,5.95,80.1,41.2,No,Privada,1,4,115,Alta,No,6.06,Sin riesgo
1272,Andrés Suárez,Masculino,21,6.36,74.7,81.4,Sí,Pública,5,4,111,Baja,No,7.81,Riesgo moderado
1273,Agustín Díaz,Masculino,28,7.62,89.3,96.1,No,Pública,6,5,91,Alta,Sí,9.27,Sin riesgo
1274,Romina Ortega,Femenino,27,8.81,97.4,82.8,Sí,Pública,3,1,8,Alta,Sí,9.01,Sin riesgo
1275,Laura Ortega,Femenino,25,6.82,67.8,42.2,Sí,Pública,2,4,89,Baja,No,5.5,Riesgo moderado
1276,Beatriz Medina,Femenino,23,6.54,62.5,62.7,No,Pública,1,1,28,Baja,No,6.26,Riesgo moderado
1277,Ignacio López,Masculino,23,9.97,62.9,88.6,No,Pública,4,3,46,Baja,No,7.58,Sin riesgo
1278,Beatriz Romero,Femenino,25,4.06,74.9,97.5,Sí,Pública,1,4,30,Baja,No,8.62,Riesgo moderado
1279,Agustín González,Masculino,24,9.37,99.5,62.2,No,Pública,5,1,110,Alta,No,8.08,Sin riesgo
1280,Julia Vargas,Femenino,27,4.89,73.1,90.5,Sí,Privada,6,2,70,Baja,No,8.18,Riesgo moderado
1281,Javier Ortega,Masculino,28,8.72,53.7,91.8,No,Privada,5,5,108,Baja,No,7.28,Sin riesgo
1282,Valeria Ramos,Femenino,29,7.71,98.9,27.6,Sí,Privada,2,1,12,Alta,No,6.32,Sin riesgo
1283,Andrés Ramírez,Masculino,27,6.05,92.2,90.7,No,Pública,4,3,77,Alta,Sí,9.14,Sin riesgo
1284,Emilio Morales,Masculino,24,9.24,58.9,59.5,No,Privada,5,6,70,Baja,No,5.92,Sin riesgo
1285,Matías Herrera,Masculino,25,4.08,95.2,75.6,No,Privada,1,3,82,Alta,Sí,8.54,Sin riesgo
1286,Javier Aguilar,Masculino,19,5.36,67.0,13.6,Sí,Privada,5,4,24,Baja,No,4.03,Alto riesgo
1287,Diego García,Masculino,26,7.4,68.9,18.1,Sí,Pública,5,5,70,Baja,No,4.35,Sin riesgo
1288,Tomás García,Masculino,18,0.0,95.3,84.4,No,Pública,3,1,72,Alta,Sí,8.98,Sin riesgo
1289,Miguel Gómez,Masculino,25,7.66,76.5,66.5,No,Pública,1,1,103,Alta,No,7.15,Sin riesgo
1290,Clara Gómez,Femenino,29,4.14,56.9,93.3,Sí,Privada,1,5,59,Baja,No,7.51,Alto riesgo
1291,Valentín Molina,Masculino,28,4.7,68.5,88.6,No,Pública,2,5,82,Baja,No,7.86,Alto riesgo
1292,Valeria Vega,Femenino,29,4.76,86.1,87.1,No,Privada,3,0,89,Alta,Sí,8.66,Sin riesgo
1293,Víctor Vega,Masculino,29,5.14,58.7,67.5,No,Pública,1,2,116,Baja,No,6.31,Alto riesgo
1294,Juan Jiménez,No informado,21,6.76,79.5,42.3,Sí,Privada,3,2,83,Alta,No,6.09,Riesgo moderado
1295,Florencia Romero,Femenino,21,8.51,84.8,69.5,No,Pública,3,5,43,Alta,No,7.72,Sin riesgo
1296,Ignacio Ortega,Masculino,22,9.43,67.2,93.9,No,Privada,4,3,54,Baja,No,8.06,Sin riesgo
1297,Miguel Muñoz,Masculino,25,9.01,84.7,51.4,Sí,Pública,1,6,24,Alta,No,6.8,Sin riesgo
1298,Ana Álvarez,Femenino,22,5.18,94.2,99.0,Sí,Privada,4,6,74,Alta,Sí,9.66,Sin riesgo
1299,Lucas Pérez,Masculino,25,6.65,73.6,88.5,No,Privada,5,5,32,Baja,No,8.1,Riesgo moderado
1300,Verónica Rodríguez,Femenino,27,5.2,69.1,82.6,No,Pública,5,4,116,Baja,No,7.58,Alto riesgo
1301,Hernán Cabrera,Masculino,18,5.59,62.6,34.1,No,Privada,4,2,47,Baja,No,4.84,Alto riesgo
1302,Andrés Ramos,Masculino,29,7.02,80.2,75.2,Sí,Pública,5,0,70,Alta,Sí,7.77,Sin riesgo
1303,Hernán Martínez,Masculino,27,4.41,94.0,83.2,No,Pública,4,3,32,Alta,Sí,8.86,Sin riesgo
1304,Jimena Díaz,Femenino,26,5.31,79.6,65.3,Sí,Pública,2,2,102,Alta,No,7.24,Riesgo moderado
1305,Felipe Suárez,Masculino,23,9.61,69.8,18.1,Sí,Privada,3,2,82,Baja,No,4.4,Sin riesgo
1306,Pablo Jiménez,No informado,20,6.8,70.3,81.8,No,Pública,2,4,77,Baja,No,7.6,Riesgo moderado
1307,Elena Rivera,Femenino,30,6.67,78.0,86.3,No,Pública,1,3,27,Alta,Sí,8.22,Riesgo moderado
1308,Martín Suárez,Masculino,25,4.09,61.4,87.5,No,Pública,2,5,112,Baja,No,7.44,Alto riesgo
1309,Florencia Navarro,Femenino,26,5.48,91.1,45.5,Sí,Privada,2,2,39,Alta,No,6.83,Sin riesgo
1310,Rafael Gómez,Masculino,23,9.2,64.8,43.3,No,Privada,5,1,26,Baja,No,5.4,Sin riesgo
1311,Nicolás Aguilar,Masculino,28,4.99,85.3,88.1,Sí,Privada,6,3,9,Alta,Sí,8.67,Sin riesgo
1312,Felipe Ramírez,Masculino,24,6.49,75.7,55.6,Sí,Pública,6,6,64,Alta,No,6.56,Riesgo moderado
1313,Marcos López,Masculino,18,4.09,79.3,74.9,No,Pública,4,5,45,Alta,Sí,7.71,Riesgo moderado
1314,Carla Flores,Femenino,22,6.87,59.0,66.6,No,Pública,1,1,33,Baja,No,6.28,Riesgo moderado
1315,Isabel López,Femenino,24,4.13,86.8,41.3,Sí,Pública,6,2,39,Alta,No,6.4,Sin riesgo
1316,Agustina Gómez,Femenino,27,8.92,59.4,42.4,Sí,Pública,5,6,118,Baja,No,5.09,Sin riesgo
1317,Javier Vargas,Masculino,21,8.95,55.7,89.6,Sí,Privada,1,1,102,Baja,No,7.26,Sin riesgo
1318,Valeria Herrera,Femenino,23,0.0,77.3,76.5,No,Pública,3,2,72,Alta,Sí,7.69,Riesgo moderado
1319,Matías Gómez,Masculino,24,5.7,85.5,71.4,No,Pública,4,2,49,Alta,Sí,7.85,Sin riesgo
1320,Verónica Molina,Femenino,26,9.02,52.5,96.7,Sí,Pública,5,3,117,Baja,No,7.46,Sin riesgo
1321,Valentín Vega,Masculino,18,7.26,53.5,50.4,No,Privada,2,2,13,Baja,No,5.2,Sin riesgo
1322,Eduardo García,Masculino,23,6.24,90.1,55.5,Sí,Pública,3,0,55,Alta,No,7.28,Sin riesgo
1323,Agustina Ramírez,Femenino,24,7.75,94.0,85.4,Sí,Privada,2,4,18,Alta,Sí,8.97,Sin riesgo
1324,Romina Navarro,Femenino,20,4.07,62.3,86.5,No,Privada,6,1,113,Baja,No,7.44,Alto riesgo
1325,Juan García,Masculino,25,4.86,80.8,64.3,No,Pública,1,4,73,Alta,No,7.26,Sin riesgo
1326,Carla Cabrera,Femenino,22,8.45,72.2,97.1,Sí,Privada,3,3,118,Baja,No,8.46,Sin riesgo
1327,Camila Sánchez,Femenino,26,5.46,81.6,96.3,Sí,Pública,5,3,60,Alta,Sí,8.9,Sin riesgo
1328,Martín Álvarez,No informado,22,7.59,93.1,40.7,Sí,Privada,2,0,115,Alta,No,6.69,Sin riesgo
1329,Eduardo Ortega,Masculino,26,6.31,54.0,50.3,No,Pública,6,4,95,Baja,No,5.22,Riesgo moderado
1330,Beatriz Martínez,Femenino,27,9.13,88.9,89.2,Sí,Pública,2,3,15,Alta,Sí,8.91,Sin riesgo
1331,Damián Ramos,Masculino,21,9.71,74.7,60.1,No,Pública,1,2,34,Baja,No,6.74,Sin riesgo
1332,Valentina Vega,Femenino,26,9.3,78.2,45.7,No,Pública,1,4,119,Alta,No,6.2,Sin riesgo
1333,Luciana Cabrera,Femenino,22,5.62,82.7,87.1,Sí,Pública,6,4,105,Alta,Sí,8.49,Sin riesgo
1334,Rafael Rodríguez,Masculino,27,5.16,96.1,67.3,No,Pública,1,0,43,Alta,No,8.17,Sin riesgo
1335,Santiago Navarro,Masculino,26,6.85,52.8,69.5,Sí,Privada,6,1,102,Baja,No,6.12,Riesgo moderado
1336,Beatriz Vargas,Femenino,20,4.04,51.5,51.2,No,Privada,4,1,119,Baja,No,5.14,Alto riesgo
1337,Martín Aguilar,No informado,21,4.15,58.9,79.7,No,Pública,6,4,28,Baja,No,6.93,Alto riesgo
1338,Hernán Flores,Masculino,26,7.32,99.3,73.1,No,Pública,6,3,84,Alta,Sí,8.62,Sin riesgo
1339,Carla Rivera,Femenino,27,7.12,85.8,52.4,Sí,Pública,1,5,62,Alta,No,6.91,Sin riesgo
1340,Valentina Navarro,Femenino,28,9.97,80.7,60.4,No,Privada,1,4,34,Alta,No,7.06,Sin riesgo
1341,Isabel Muñoz,Femenino,23,5.21,52.4,75.8,Sí,Privada,6,5,28,Baja,No,6.41,Alto riesgo
1342,Elena López,Femenino,19,5.55,94.0,95.5,No,Privada,2,2,71,Alta,Sí,9.48,Sin riesgo
1343,Eduardo Molina,Masculino,24,4.68,90.6,95.2,No,Pública,1,2,33,Alta,Sí,9.29,Sin riesgo
1344,Eduardo Rodríguez,Masculino,19,9.51,83.2,57.3,Sí,Privada,1,5,46,Alta,No,7.02,Sin riesgo
1345,Matías Muñoz,Masculino,28,8.67,67.0,84.1,Sí,Privada,1,1,80,Baja,No,7.56,Sin riesgo
1346,Laura Rodríguez,Femenino,19,8.93,53.5,86.5,No,Privada,1,3,66,Baja,No,7.0,Sin riesgo
1347,Verónica Sánchez,Femenino,28,9.42,79.0,88.5,No,Pública,5,1,31,Alta,Sí,8.38,Sin riesgo
1348,Gabriela Muñoz,Femenino,18,7.15,86.0,74.2,No,Pública,5,5,33,Alta,Sí,8.01,Sin riesgo
1349,Carla Rodríguez,Femenino,28,6.71,54.7,40.6,No,Pública,1,2,70,Baja,No,4.77,Riesgo moderado
1350,Felipe Jiménez,Masculino,28,5.98,81.7,85.7,No,Privada,3,1,61,Alta,Sí,8.37,Sin riesgo
1351,Brenda Ortega,Femenino,29,7.54,83.7,46.4,No,Privada,1,4,65,Alta,No,6.5,Sin riesgo
1352,Gabriel Navarro,Masculino,28,6.73,88.2,47.0,Sí,Pública,3,1,33,Alta,No,6.76,Sin riesgo
1353,Carolina López,Femenino,20,6.71,77.0,76.3,Sí,Pública,6,6,108,Alta,Sí,7.67,Riesgo moderado
1354,Lucas Díaz,Masculino,23,9.62,56.5,99.0,No,Pública,2,2,61,Baja,No,7.78,Sin riesgo
1355,Sebastián Flores,Masculino,25,9.9,76.3,100.0,No,Pública,2,4,77,Alta,Sí,8.82,Sin riesgo
1356,Brenda Pérez,Femenino,26,8.78,69.8,78.7,No,Pública,3,2,59,Baja,No,7.42,Sin riesgo
1357,Marcos Ramos,Masculino,24,8.54,59.0,58.2,Sí,Privada,4,5,120,Baja,No,5.86,Sin riesgo
1358,Martina Cabrera,Femenino,21,8.08,92.1,93.9,No,Privada,2,5,48,Alta,Sí,9.3,Sin riesgo
1359,Diego Muñoz,Masculino,23,5.0,50.6,75.6,Sí,Privada,5,5,32,Baja,No,6.31,Alto riesgo
1360,Agustín Jiménez,Masculino,22,4.35,65.6,52.4,No,Pública,1,5,41,Baja,No,5.9,Alto riesgo
1361,Diego García,Masculino,25,0.0,50.6,55.7,No,Pública,6,1,27,Baja,No,5.32,Alto riesgo
1362,Bruno Molina,Masculino,18,8.37,54.8,65.9,Sí,Pública,1,6,81,Baja,No,6.04,Sin riesgo
1363,Eduardo Sánchez,Masculino,18,4.28,64.9,47.3,No,Privada,5,4,73,Baja,No,5.61,Alto riesgo
1364,Jimena Aguilar,Femenino,30,9.57,52.7,30.9,No,Pública,1,5,100,Baja,No,4.18,Sin riesgo
1365,Rafael Vargas,Masculino,28,4.55,79.8,80.8,No,Pública,1,4,96,Alta,Sí,8.03,Riesgo moderado
1366,Emilia Navarro,No informado,23,5.72,54.3,64.4,Sí,Pública,4,1,62,Baja,No,5.94,Alto riesgo
1367,Alejandro López,Masculino,27,8.03,85.1,83.6,Sí,Pública,3,4,83,Alta,Sí,8.43,Sin riesgo
1368,Damián Medina,Masculino,29,5.02,52.6,46.6,Sí,Pública,1,1,92,Baja,No,4.96,Alto riesgo
1369,Aldana González,Femenino,19,4.33,53.0,76.6,Sí,Privada,5,4,36,Baja,No,6.48,Alto riesgo
1370,Damián Ramos,Masculino,22,5.99,65.3,66.6,Sí,Pública,6,2,89,Baja,No,6.59,Alto riesgo
1371,Camila Martínez,Femenino,18,8.6,94.8,43.5,Sí,Privada,6,1,73,Alta,No,6.92,Sin riesgo
1372,Ana Pérez,Femenino,24,6.48,82.1,72.7,No,Pública,5,6,105,Alta,Sí,7.74,Sin riesgo
1373,Brenda Cabrera,Femenino,18,7.92,88.5,45.0,No,Privada,4,5,40,Alta,No,6.68,Sin riesgo
1374,Luisa García,Femenino,21,7.48,57.1,89.7,No,Privada,4,5,96,Baja,No,7.34,Sin riesgo
1375,Sofía Morales,Femenino,26,4.13,91.7,77.9,No,Privada,6,5,36,Alta,Sí,8.48,Sin riesgo
1376,Lucas Sánchez,Masculino,18,9.93,50.4,73.4,No,Privada,6,4,63,Baja,No,6.19,Sin riesgo
1377,Ignacio Torres,Masculino,21,4.25,60.7,48.0,No,Privada,4,4,64,Baja,No,5.44,Alto riesgo
1378,Diana González,Femenino,23,9.81,80.8,100.0,Sí,Pública,3,1,91,Alta,Sí,9.04,Sin riesgo
1379,Rodrigo Herrera,Masculino,23,7.3,68.8,69.6,Sí,Privada,2,5,84,Baja,No,6.92,Sin riesgo
1380,Santiago Flores,Masculino,29,9.78,99.2,78.0,No,Pública,5,5,118,Alta,Sí,8.86,Sin riesgo
1381,Laura Vega,Femenino,30,4.69,51.5,51.0,No,Privada,3,4,78,Baja,No,5.12,Alto riesgo
1382,Ana López,Femenino,25,6.94,99.9,40.5,No,Pública,5,6,97,Alta,No,7.02,Sin riesgo
1383,Julia González,Femenino,18,5.02,81.2,60.7,No,Privada,6,3,120,Alta,No,7.1,Sin riesgo
1384,Daniela Medina,Femenino,24,4.31,77.9,69.0,Sí,Privada,3,3,31,Alta,No,7.35,Riesgo moderado
1385,Santiago Jiménez,Masculino,18,0.0,53.0,51.1,No,Privada,6,6,103,Baja,No,5.2,Alto riesgo
1386,Marcos Jiménez,Masculino,30,5.25,63.7,100.0,No,Pública,6,3,110,Baja,No,8.18,Alto riesgo
1387,Luisa Castro,Femenino,24,7.53,63.4,60.3,No,Privada,6,4,113,Baja,No,6.18,Sin riesgo
1388,Jimena Suárez,Femenino,20,0.0,67.7,67.3,No,Pública,1,2,28,Baja,No,6.75,Alto riesgo
1389,Julia Torres,Femenino,28,5.99,83.1,60.8,No,Pública,2,4,91,Alta,No,7.19,Sin riesgo
1390,Alejandro Rivera,Masculino,25,8.69,100.0,77.7,Sí,Pública,6,4,71,Alta,Sí,8.88,Sin riesgo
1391,Alejandro Vega,Masculino,20,6.62,63.2,42.6,Sí,Pública,5,4,40,Baja,No,5.29,Riesgo moderado
1392,Ana Jiménez,Femenino,30,7.77,78.8,50.3,No,Pública,4,3,113,Alta,No,6.46,Sin riesgo
1393,María Gómez,No informado,18,7.88,84.8,66.0,No,Pública,2,2,18,Alta,No,7.54,Sin riesgo
1394,Felipe Rodríguez,Masculino,30,9.06,58.2,61.4,Sí,Privada,5,4,72,Baja,No,5.98,Sin riesgo
1395,Sebastián Ramírez,Masculino,30,5.95,57.4,63.5,Sí,Pública,1,5,48,Baja,No,6.04,Alto riesgo
1396,Martina Navarro,Femenino,25,8.12,72.8,34.3,Sí,Privada,6,0,52,Baja,No,5.36,Sin riesgo
1397,Víctor Ramírez,Masculino,20,9.77,69.3,13.6,No,Pública,5,1,110,Baja,No,4.14,Sin riesgo
1398,Jimena Suárez,Femenino,19,8.38,85.7,54.9,No,Pública,5,1,36,Alta,No,7.03,Sin riesgo
1399,Felipe Ramírez,Masculino,18,6.94,53.5,31.5,No,Pública,5,6,88,Baja,No,4.25,Riesgo moderado
1400,Aldana Cabrera,Femenino,20,7.78,98.6,67.5,No,Pública,2,4,21,Alta,No,8.3,Sin riesgo
1401,Emilia Vargas,Femenino,19,8.44,50.7,56.4,Sí,Privada,6,6,97,Baja,No,5.36,Sin riesgo
1402,Tomás Ortega,Masculino,19,7.67,80.1,99.1,Sí,Privada,5,3,61,Alta,Sí,8.96,Sin riesgo
1403,Natalia Vargas,Femenino,23,4.1,78.1,89.5,No,Pública,4,3,43,Alta,Sí,8.38,Riesgo moderado
1404,Rafael Sánchez,Masculino,29,5.17,56.7,99.7,No,Pública,6,5,36,Baja,No,7.82,Alto riesgo
1405,Martina Flores,Femenino,18,8.86,57.5,50.1,No,Privada,3,1,72,Baja,No,5.38,Sin riesgo
1406,Miguel Martínez,Masculino,19,5.64,89.6,48.6,No,Pública,4,2,92,Alta,No,6.91,Sin riesgo
1407,Andrés Ramírez,Masculino,23,8.39,94.4,70.2,No,Pública,1,3,112,Alta,Sí,8.23,Sin riesgo
1408,Alejandro Romero,No informado,20,6.23,64.2,78.3,No,Pública,2,2,110,Baja,No,7.12,Riesgo moderado
1409,Agustina Rivera,Femenino,21,7.13,71.9,50.3,Sí,Pública,3,2,6,Baja,No,6.11,Sin riesgo
1410,Agustín González,Masculino,18,4.41,67.7,100.0,No,Pública,2,0,82,Baja,No,8.38,Alto riesgo
1411,Valentina Pérez,Femenino,25,5.09,53.6,71.9,No,Pública,2,1,108,Baja,No,6.28,Alto riesgo
1412,Ana García,Femenino,19,9.74,83.7,64.7,No,Pública,5,2,46,Alta,No,7.42,Sin riesgo
1413,Rafael Ortega,Masculino,24,9.34,91.3,76.1,No,Pública,4,5,42,Alta,Sí,8.37,Sin riesgo
1414,Víctor Rodríguez,No informado,24,7.91,65.2,78.1,No,Pública,3,1,59,Baja,No,7.17,Sin riesgo
1415,Beatriz Gómez,Femenino,20,6.76,99.5,42.6,Sí,Pública,5,2,59,Alta,No,7.1,Sin riesgo
1416,Natalia Rodríguez,Femenino,27,8.05,53.8,100.0,No,Privada,3,0,38,Baja,No,7.69,Sin riesgo
1417,Gabriela Rivera,Femenino,27,7.71,61.8,61.8,Sí,Pública,6,3,50,Baja,No,6.18,Sin riesgo
1418,Felipe Cabrera,Masculino,20,7.41,72.4,43.7,No,Pública,6,4,47,Baja,No,5.81,Sin riesgo
1419,Aldana Medina,Femenino,19,4.36,72.3,91.1,No,Pública,4,5,6,Baja,No,8.17,Riesgo moderado
1420,Romina Rivera,Femenino,29,7.8,72.9,99.6,No,Privada,5,5,40,Baja,No,8.62,Sin riesgo
1421,Tomás Castro,Masculino,18,8.61,62.9,89.0,No,Pública,3,2,74,Baja,No,7.6,Sin riesgo
1422,Elena Aguilar,Femenino,24,9.96,85.8,91.1,No,Pública,6,1,40,Alta,Sí,8.84,Sin riesgo
1423,Marcos Flores,Masculino,24,4.07,86.1,77.6,No,Pública,5,1,26,Alta,Sí,8.18,Sin riesgo
1424,Carolina Pérez,Femenino,29,8.38,64.1,95.3,Sí,Privada,1,6,73,Baja,No,7.97,Sin riesgo
1425,Tomás Vargas,Masculino,19,7.43,91.8,42.1,Sí,Privada,6,4,42,Alta,No,6.7,Sin riesgo
1426,Carla Molina,Femenino,24,6.6,65.8,86.0,No,Pública,1,0,109,Baja,No,7.59,Riesgo moderado
1427,Felipe Herrera,Masculino,30,4.77,86.3,80.2,No,Pública,3,1,58,Alta,Sí,8.32,Sin riesgo
1428,Emilia Jiménez,Femenino,25,6.45,56.0,43.0,No,Pública,6,3,26,Baja,No,4.95,Riesgo moderado
1429,Santiago Vargas,Masculino,18,6.13,58.4,72.6,Sí,Privada,4,1,116,Baja,No,6.55,Riesgo moderado
1430,Emilio Álvarez,Masculino,26,5.82,65.8,70.9,No,Pública,3,5,79,Baja,No,6.83,Alto riesgo
1431,Juan Cabrera,Masculino,24,8.39,79.7,81.5,No,Pública,1,3,111,Alta,Sí,8.06,Sin riesgo
1432,Hernán Gómez,Masculino,20,8.2,82.3,44.7,No,Privada,3,4,35,Alta,No,6.35,Sin riesgo
1433,Clara Medina,Femenino,25,7.53,69.8,88.3,No,Privada,3,3,57,Baja,No,7.9,Sin riesgo
1434,Bruno Ortega,Masculino,24,9.63,53.9,48.4,No,Pública,6,2,110,Baja,No,5.12,Sin riesgo
1435,Luciana García,Femenino,28,6.1,68.7,65.1,No,Pública,3,4,97,Baja,No,6.69,Riesgo moderado
1436,Daniela Ramírez,Femenino,30,5.46,84.4,100.0,Sí,Pública,4,4,63,Alta,Sí,9.22,Sin riesgo
1437,Lucas Torres,No informado,25,7.94,83.5,73.6,No,Pública,1,2,101,Alta,Sí,7.86,Sin riesgo
1438,Valentín García,Masculino,23,5.19,58.0,62.8,No,Privada,6,3,90,Baja,No,6.04,Alto riesgo
1439,Marcos Muñoz,Masculino,26,5.89,50.4,42.9,No,Pública,1,5,53,Baja,No,4.66,Alto riesgo
1440,Clara Vega,Femenino,22,5.35,87.6,80.3,Sí,Pública,4,1,31,Alta,Sí,8.4,Sin riesgo
